Source String,Target String,Predicted String
prashninchalekapoyindi,ప్రశ్నించలేకపోయింది,ప్రశ్నించలేకపోయింది
malwan,మాల్వన్,మల్వాన్
vyatyaasaalu,వ్యత్యాసాలు,వ్యత్యాసాలు
awasthi,అవస్థి,అవాస్థి
teecharugaa,టీచరుగా,తీచరుగా
delhini,ఢిల్లీని,దేలిని
saasar,సాసర్,సాసర్
anipinchi,అనిపించి,అనిపించి
sobhanu,శోభను,సోభను
aana,అణా,ఆన
jeense,జీన్స్,జీన్స్
niraakarinchadamto,నిరాకరించడంతో,నిరాకరించడంతో
dyooyasku,డ్యూయస్కు,డ్యూయస్కు
klein,క్లీన్,క్లీన్
roadlu,రోడ్లు,రోడ్లు
niyamangaa,నియమంగా,నియమంగా
kashaayaalanu,కషాయాలను,కషాయాలను
visaka,విశాఖ,విశక
nayeem,నయీం,నాయేమ
narala,నరల,నరలల
vallabhai,వల్లభాయై,వల్లభభ
rakshana,రక్షణ,రక్షణ
vaarthala,వార్తల,వార్తల
tirigindanipinchindi,తిరిగిందనిపించింది,తిరిగిందనిపించింది
lakshanhamulanu,లక్షణములను,లక్షణములను
shstrachikitsalo,శస్త్రచికిత్సలో,శస్త్రచికిత్సలో
aajaadh,ఆజాద్,ఆజాధ్
pravaesinchina,ప్రవేశించిన,ప్రవేశించిన
suuchinchae,సూచించే,సూచించే
cheyunu,చేయును,చేయును
aathmatho,ఆత్మతో,ఆత్మతో
kshetranni,క్షేత్రాన్ని,క్షేత్రన్ని
inta,ఇంత,ఇంట
haute,ఔట్,హౌట్్
vidyaardhula,విద్యార్ధుల,విద్యార్ధుల
kakatiyula,కాకతీయుల,కాటియయుల
shivunipai,శివునిపై,శివునిపై
pravesinchadu,ప్రవేశించాడు,ప్రవేశించడు
ramanamaharshula,రమణమహర్షుల,రమణమహర్షులు
shrivas,శ్రీవాస్,శ్రీవా్్
chelleymma,చెల్లెమ్మ,చెల్లేమ్మమ
teravaalanukuntunnaarani,తెరవాలనుకుంటున్నారని,తెరవాలనుకుంటున్నారని
keiith,కీత్,కీయిత్
mottukundi,మొత్తుకుంది,మొత్తుకుంది
chetan,చేతన్,చేతన్
poojinchadam,పూజించడం,పూజించడం
face,ఫేస్,ఫేస్
penampie,పెనంపై,పెనంపై
badhyatlanu,బాధ్యతలను,బధ్యట్లను
yadala,యడల,యదలల
konasaagutondani,కొనసాగుతోందని,కొనసాగుతోందని
cals,కాల్స్,కాల్స్
wolf,వుల్ఫ్,వోల్ఫ్
mamdulanu,మందులను,మందులను
poorita,పూరిత,పూరిత
paerlaku,పేర్లకు,పేర్లకు
sundar,సుందర్,సుందర్
raheembhaasha,రహీంభాష,రహీంభాష
pilar,పిల్లర్,పిలార్
pillanagroovi,పిల్లనగ్రోవి,పిల్లనాగ్రవవి
urbana,అర్భన,ఉర్బన
roanoke,రోనోక్,రోనోకే
vikalangulu,వికలాంగులు,వికలలంగులు
financiers,ఫైనాన్షియర్స్,ఫినాన్సి్ర్స్
ennikanu,ఎన్నికను,ఎన్నికను
shahjahanpur,షాజహాన్పూర్,షాజహానుపూర్
poortunnaaru,పోతున్నారు,పూర్టున్నారు
woodbury,వుడ్బురీ,వూడ్బర్
manduni,మందుని,మందుని
pramaanhamulu,ప్రమాణములు,ప్రమాణములు
moosiveyaalani,మూసివేయాలని,మూసివేయాలని
vyaktulato,వ్యక్తులతో,వ్యక్తులతో
sevalandincharu,సేవలందించారు,సేవాలందించారు
jind,జిండ్,జిండ్
rakalloo,రకాల్లో,రకలల్లో
paaradarshakata,పారదర్శకత,పారదర్శకత
tiraskarinchalekapovachhu,తిరస్కరించలేకపోవచ్చు,తిరస్కరించలేకపోవచ్చు
phraiday,ఫ్రైడే,ఫ్రైదాయ్
daariki,దారికి,దారికి
pennington,పెన్నింగ్టన్,పెన్నింగ్టన్
chaerukunna,చేరుకున్న,చేరుకున్న
alayamlo,ఆలయంలో,అలయంలో
kuulindhi,కూలింది,కూలింది
miami,మియామీ,మియామి
paastha,పాస్తా,పాస్థ
pittasaya,పిత్తాశయ,పిత్తశయయ
sowbhari,సౌభరి,సోభరిి
chhatarpur,ఛతర్పూర్,చటరాపపరుర్
linde,లిందే,లిండే
medina,మెడీనా,మెదిన
blue,బ్లు,బ్లూ
maarite,మారితే,మారితే
russian,రష్యన్,రస్్యియన్
oohinchukogamaa,ఊహించుకోగమా,ఊహించుకోగమా
nizamat,నిజామత్,నిజమా్్
chestunnatlenani,చేస్తున్నట్లేనని,చేస్తున్నట్లేనని
aranhyamloe,అరణ్యంలో,అరణ్యంలో
pempupai,పెంపుపై,పెంపుపై
vishvaasaanni,విశ్వాసాన్ని,విశ్వాసాన్ని
engines,ఇంజిన్స్,ఎంజిన్స్
maarchataniki,మార్చటానికి,మార్చటనికి
unchukunnaavu,ఉంచుకున్నావు,ఉంచుకున్నావు
ghatanapai,ఘటనపై,ఘటనపై
asamarthata,అసమర్థత,అసమర్థత
patan,పఠాన్,పటననన
gravita,గ్రవిట,గ్రావి
harmonula,హార్మోనుల,హరర్మోనుల
digendhuku,దిగేందుకు,దిగేంధుకు
dilli,డిల్లీ,దిల్లి
jaateeyoodyamaaniki,జాతీయోద్యమానికి,జాతీయోద్యమానికి
raashtraallonoo,రాష్ట్రాల్లోనూ,రాష్ట్రాల్లోనూ
kollam,కొల్లం,కోల్లం
shelli,షెల్లీ,షెల్లి
sheshayya,శేషయ్య,శేషయ్య
sons,సన్స్,సోన్స్
bullhead,బుల్హెడ్,బుల్లేయ్
gond,గొండ్,గోండ్
dhanyamunu,ధాన్యమును,ధన్యమును
arena,అరిన,అరెనా
akkadikakkade,అక్కడికక్కడే,అక్కడికక్కడే
sannaddham,సన్నద్ధం,సన్నద్ధం
gentry,గెంట్రీ,గెంట్రీ
saadhyamavutaayannaaru,సాధ్యమవుతాయన్నారు,సాధ్యమవుతాయన్నారు
abhipraayapadutunnattu,అభిప్రాయపడుతున్నట్టు,అభిప్రాయపడుతున్నట్టు
vechchinchalekapovachchu,వెచ్చించలేకపోవచ్చు,వేచ్చించలేకపోవచ్చు
paaramparya,పారంపర్య,పారంపర్య
patayae,పతయే,పటాయయే
thaagindhi,తాగింది,తాగింది
prajaachaitanyamlo,ప్రజాచైతన్యంలో,ప్రజాచైతన్యంలో
rakthahinatha,రక్తహినత,రక్తహినత
khaidiga,ఖైదీగా,ఖైదిగా
dittamga,దిట్టంగా,దిత్తంగా
upayoginchukunnaamani,ఉపయోగించుకున్నామని,ఉపయోగించుకున్నామని
raichur,రాయ్చూర్,రైచుర్
operative,ఆపరేటివ్,ఒపరేటివ్
vamsiiyulu,వంశీయులు,వంశీయులు
longmont,లాంగ్మొంట్,లాంగ్మాంట్
pattanaalaku,పట్టణాలకు,పట్టణాలకు
konukkuntunnaaraa,కొనుక్కుంటున్నారా,కొనుక్కుంటున్నారా
undanundi,ఉండనుంది,ఉండనుండి
rakhecha,రఖేచ,రాఖెచ
maurya,మౌర్య,మార్య
mitra,మిత్ర,మిత్ర
alipore,అలీపూర్,అలిపోర్
challagaanee,చల్లగానే,చల్లగానీ
puttee,పుట్టే,పుట్టే
yajamanyam,యాజమాన్యం,యాజమన్యం
ou,ఔ,ఊ
todimelni,తొడిమెల్ని,తోడిమెల్ని
bharatiyulandariki,భారతీయులందరికీ,భరతియులలదదరికీ
taginanni,తగినన్ని,తగిననన్ని
bhaagaswaamulu,భాగస్వాములు,భాగస్వాములు
vysya,వైస్య,వైస్య
yerpadaka,ఏర్పడక,యర్పపాక
cheeyinchatam,చేయించటం,చీయించటం
punarnirmaanha,పునర్నిర్మాణ,పునర్నిర్మాణ
mahaanubhaavudu,మహానుభావుడు,మహానుభావుడు
pukto,పుక్తో,పుక్తో
cookie,కుకీ,కూకీ
bhaagaalathoo,భాగాలతో,భాగాలతో
choppinchukunnaadu,చొప్పించుకున్నాడు,చొప్పించుకున్నాడు
varanasiloo,వారణాసిలో,వరణసిలో
prishuddhamaina,పరిశుద్ధమైన,ప్రిషుద్ధమైన
aathma,ఆత్మ,ఆత్మ
satyaagrahanni,సత్యాగ్రహాన్ని,సత్యాగ్రహన్ని
raalla,రాళ్ళ,రాళ్ళ
horettipotunnaaru,హోరెత్తిపోతున్నారు,హోరెత్తిపోతున్నారు
kattimchi,కట్టించి,కట్తించి
nammika,నమ్మిక,నమ్మిక
vyavaharinchaevaru,వ్యవహరించేవారు,వ్యవహరించేవరు
gajaraaju,గజరాజు,గజరాజు
wylie,వయ్లీ,వైలీ
ruubber,రబ్బర్,రూబ్రర్
nirvaakam,నిర్వాకం,నిర్వాకం
organisation,ఆర్గనైజేషన్,ఆర్గానిసేషన్
samdharshni,సమదర్శిని,సంధర్ష్ణి
damoh,దమోహ్,దామోహ్
nowgong,నౌగాంగ్,నోగోంగ్
paruchuuri,పరుచూరి,పరుచూరి
imtaa,ఇంతా,ఇంతా
chakma,చక్మా,చక్మా
daulatabad,దౌల్తాబాద్,దౌలతబడ్డ
rudruni,రుద్రుని,రుద్రుని
ajirnamu,అజీర్ణము,అజిర్ణము
perigipoyinappatiki,పెరిగిపోయినప్పటికీ,పెరిగిపోయినప్పటికీ
adhaulia,అధౌలియా,అధౌలిియా
daadi,దాడి,దాడి
abba,అబ్బా,అబ్బా
icici,ఐసీఐసీఐ,ఐసిసి
varnhimchaemduku,వర్ణించేందుకు,వర్ణించేందుకు
anukuntunnayi,అనుకుంటున్నాయి,అనుకుంటున్నాయి
aakaaraalu,ఆకారాలు,ఆకారాలు
global,గ్లోబల్,గ్లోబల్
kutsitapu,కుత్సితపు,కుత్సితపు
patishthingaa,పటిష్ఠంగా,పటిష్థింగా
thisukogaane,తీసుకోగానే,తిసుకోగానే
innar,ఇన్నర్,ఇన్నా్
pillangrovi,పిల్లనగ్రోవి,పిల్లాగ్రవవవి
ratelaku,రేట్లకు,రాటేలకు
gajanna,గజన్న,గజన్నన
fatehpur,ఫతేపూర్,ఫాత్జ్పూర
gottamu,గొట్టము,గొత్తము
sitapur,సీతాపూర్,సిటాపూర్
shailajaareddi,శైలజారెడ్డి,శైలజారెడ్డి
chaeyu,చేయు,చేయు
kattinchadam,కట్టించడం,కట్టించడం
newton,న్యూటన్,న్యూటన్
ware,వేర్,వారే
mruturaali,మృతురాలి,మృతురాలి
gharadi,గారడీ,ఘరదాది
jacinto,జాసింటో,జాసింటో
orugallunu,ఓరుగల్లును,ఒరుగల్లును
jeyumani,జేయుమని,జేయుమని
sastravettagaa,శాస్త్రవేత్తగా,సస్త్రవేత్తగా
waseem,వసీం,వాేీం
vaayis,వాయిస్,వాయిస్
byadmintan,బ్యాడ్మింటన్,బ్యాడ్మింటన్
anuragalu,అనురాగాలు,అనురగలు
suresh,సురేశ్,సురేష్
aadeshinchadam,ఆదేశించడం,ఆదేశించడం
thaakre,ఠాక్రే,తాక్రే
johara,జొహర,జోహర
digajaarchukuntunna,దిగజార్చుకుంటున్న,దిగజార్చుకుంటున్న
avondale,అవొండలే,అవొండలే
ketaayistunnaayani,కేటాయిస్తున్నాయని,కేటాయిస్తున్నాయని
lynchburg,లంచ్బర్గ్,లిం్బరర్గ్
kree,క్రీ,క్రీ
dayaananda,దయానంద,దయానంద
vachchinappati,వచ్చినప్పటి,వచ్చినప్పటి
maathyoos,మాథ్యూస్,మాథ్యూస్
balagaalatoe,బలగాలతో,బలగాలతో
anakonda,అనకొండ,అనకొండ
sivasaenaku,శివసేనకు,శివసానకు
dopideeki,దోపిడీకి,దోపిడీకి
sariiramloeni,శరీరంలోని,సరీరంలోని
movers,మూవర్స్,మోరర్స్
rawlani,రావ్లాని,రావాలని
fertilizers,ఫెర్టిలైజర్స్,ఫరర్టిలజ్్స్
zavala,జవల,జవాల
abaddaala,అబద్ధాల,అబద్దాల
maaphee,మాఫీ,మాఫీ
sarasota,సరసోట,సరసోత
securities,సెక్యూరిటీస్,సెక్యూరిటిస్
kru,కృ,క్రు
gantyaada,గంట్యాడ,గంత్యాద
anam,అనమ్,అనం
columbus,కొలంబస్,కోలంబస్
tannina,తన్నిన,తన్నిన
mumbailoo,ముంబైలో,ముంబైలో
prakatanalaku,ప్రకటనలకు,ప్రకటనలకు
niyojakavargaallo,నియోజకవర్గాల్లో,నియోజకవర్గాల్లో
jind,జింద్,జిండ్
voice,వాయిస్,వోయిస్
ithara,ఇతర,ఇతర
ugravaadam,ఉగ్రవాదం,ఉగ్రవాదం
sastraalaku,శాస్త్రాలకు,సస్త్రాలకు
surjery,సర్జరీ,సర్జర్
sevagram,సేవాగ్రామ్,సేవాగ్రం
ghoramgaa,ఘోరంగా,ఘోరంగా
rachanala,రచనల,రచనల
machra,మాచ్రా,మచ్రర
nimishaniki,నిమిషానికి,నిమిషనికి
sabhyatvaanni,సభ్యత్వాన్ని,సభ్యత్వాన్ని
vesara,వేసారా,వేశారా
shivamogga,శివమొగ్గ,శివమోగ్గ
breweries,బ్రూవరీస్,బ్రెవరరిస్
grastula,గ్రస్తుల,గ్రసస్తుల
ammee,అమ్మే,అమ్మీ
vennupotu,వెన్నుపోటు,వెన్నుపోతు
bigbaas,బిగ్బాస్,బిగ్బాస్
abhimanamto,అభిమానంతో,అభిమానంతో
chaerukunnappudu,చేరుకున్నప్పుడు,చేరుకున్నప్పుడు
mikki,మిక్కీ,మిక్కి
dominguez,డొమైన్గెజ్,డోమింగజజ్
parachimdi,పరచింది,పరచింది
chitrikarinchadaniki,చిత్రించడానికి,చిత్రికరించడననికి
centro,సెంట్రో,సెంట్రో
raajyasabhalo,రాజ్యసభలో,రాజ్యసభలో
angelo,ఏంజెలో,అంగగేలో
raamaaloni,రామాలోని,రామాలోని
telusukunevaariki,తెలుసుకునేవారికి,తెలుసుకునేవారికి
aanthoni,ఆంథోనీ,ఆంతోని
chestundaa,చేస్తుందా,చేస్తుందా
randall,రండల్,రండల్లల
coast,కోస్ట్,కాస్స్ట్
fullerton,ఫులర్టన్,ఫులర్టన్
oswal,ఓస్వాల్,ఓస్వాల్
veraval,వేరావల్,వేరవాల్
bhuubhaalanu,భూభాగాలను,భూభాలను
churchinchalani,చర్చించాలని,చుర్చించాలని
koraput,కోరాపుట్,కోరపుట్
reading,రీడింగ్,రీడింగ్
vijay,విజయ్,విజయ్
roogaalu,రోగాలు,రూగాలు
gorrelu,గొర్రెలు,గోర్రెలు
gaya,గయ,గాయ
kalaburagi,కలబురాగి,కలలురాగి
besy,బేసి,బెసీ
prataaparudra,ప్రతాపరుద్ర,ప్రతాపరుద్ర
kulal,కులాల్,కులల్
sakramamgaa,సక్రమంగా,సక్రమంగా
paluchana,పలుచన,పలుచన
perez,పెరెజ్,పెరెజ్
vijayanni,విజయాన్ని,విజయన్ని
sunteck,సుంటెక్,సంటకెక్
onmobile,ఆన్మొబైల్,ఒన్మోబిల్
zydus,జైడస్,జైడసస
eppatinuncho,ఎప్పటినుంచో,ఎప్పటినుంచో
charithrathmaka,చరిత్రాత్మక,చరిత్రత్మక
badhinchadu,బాధించాడు,బాధించాడు
mahankmadaan,మహంక్మాడాన్,మహాన్్మాాన్
cherukunnaru,చేరుకున్నారు,చేరుకున్నారు
ahaaramtoo,ఆహారంతో,అహారంతో
amtaloenae,అంతలోనే,అంతలోనే
iqbal,ఇక్బాల్,ఇక్బాల్
islands,ఐలాండ్స్,ఇస్లాండ్స్
bommalloo,బొమ్మల్లో,బొమ్మల్లో
kavitalaloe,కవితలలో,కవితలలో
pratiphalamgaa,ప్రతిఫలంగా,ప్రతిఫలంగా
baiswar,బైశ్వర్,బైస్వర్
shivpuri,శివ్పురి,శివ్పురి
udayame,ఉదయమే,ఉదయమే
himadri,హిమద్రి,హిమద్రి
antoniyo,ఆంటోనియో,అంటోనియో
varasa,వరస,వరసస
maaradamto,మారడంతో,మారడంతో
tanakedo,తనకేదో,తనకేదో
kootiki,కూటికి,కూటికి
khaataadaarulaku,ఖాతాదారులకు,ఖాతాదారులకు
thamaku,తమకు,తమకు
chestunnaarantoo,చేస్తున్నారంటూ,చేస్తున్నారంటో
rakamagaanu,రకంగానూ,రకమగాను
budge,బడ్జ్,బడ్జే
saalaajar,సాలాజర్,సాలాజర్
afreen,అఫ్రీన్,అఫ్రీన్
marakalu,మరకలు,మరకలు
hazaribag,హజారీబాగ్,హాజరరబగ్గ్
khaidilanu,ఖైదీలను,ఖైదిలను
varshaabhaava,వర్షాభావ,వర్షాభావ
tattabotunnaayani,తట్టబోతున్నాయని,తట్టబోతున్నాయని
baadhyathalanu,బాధ్యతలను,బాధ్యతలను
brake,బ్రేక్,బ్రాక్
niiluni,నీలుని,నీలుని
maarchenduku,మార్చేందుకు,మార్చేందుకు
gond,గోంద్,గోండ్
mplaku,ఎంపీలకు,పిప్లకు
lekkana,లెక్కన,లెక్కన
finley,ఫిన్లీ,ఫిన్లే
oppesukuntundi,ఒప్పెసుకుంటుంది,ఒప్పేసుకుంటుంది
suraes,సురేశ్,సురేస్
elvee,ఎల్వీ,ఎల్వీ
jarugakundaa,జరుగకుండా,జరుగకుండా
chotuku,చోటుకు,చోటుకు
thiruppaavai,తిరుప్పావై,తిరుప్పావై
inela,ఈనెల,ఇనెలా
prajektulu,ప్రాజెక్టులు,ప్రజేక్తులు
puttabotunnaadantoo,పుట్టబోతున్నాడంటూ,పుట్టబోతున్నాడంటో
gantyada,గంట్యాడ,గంత్యదా
sampaadinchukuntaamannade,సంపాదించుకుంటామన్నదే,సంపాదించుకుంటామన్నదే
enchukunnaru,ఎంచుకున్నారు,ఎంచుకున్నారు
addupettukunnaarani,అడ్డుపెట్టుకున్నారని,అడ్డుపెట్టుకున్నారని
durgapur,దుర్గాపూర్,దుర్గాపూర్
focus,ఫోకస్,ఫోకస్
mandamga,మందంగా,మండంగా
aibeeeslo,ఐబీఎస్లో,ఐబీయెస్లో
baharampur,బహరంపుర్,బహారంపపూర్
thaati,తాటి,తాటి
livermore,లివర్మోర్,లైవర్మోర
waybhase,వేభేస్,వయ్భాే
draupadithoo,ద్రౌపదితో,ద్రౌపడితూ
puvvulato,పువ్వులతో,పువ్వులతో
vaijayanti,వైజయంతీ,వైజయంతి
kanchan,కంచన్,కంచనన్
durgavanshi,దుర్గావంశీ,దుర్గవాా్ిి
lein,లేన్,లీనిన్
dalton,డాల్టన్,డాల్టన్
banda,బండా,బండ
devisriprasad,దేవిశ్రీప్రసాద్,దేవిశ్రిప్రసాద్
hechdee,హెచ్డీ,హెచ్చే
mataachaaraalanu,మతాచారాలను,మతాచారాలను
laguna,లగున,లాగున
successes,సక్సెస్,సచ్సెస్స్
gandhimathi,గాంధిమతి,గంధధితత
colorado,కొలరాడో,కోలోరడడో
tagginchukunnanani,తగ్గించుకున్నానని,తగ్గించుకున్నానని
konasaginavaru,కొనసాగినవారు,కొనసాగినవారు
amayaka,అమాయక,అమయయక
bhagalaku,భాగాలకు,భగగకు
kosuuri,కోసూరి,కోసూరి
udikinchi,ఉడికించి,ఉడికించి
dal,దళ్,డలల్
khateeja,ఖతీజ,ఖతీజజ
tappukunna,తప్పుకున్న,తప్పుకున్న
aaroohana,ఆరోహణ,ఆరోహన
avataaraalu,అవతారాలు,అవతారాలు
riverside,రివర్సైడ్,రివర్సిడ్
alhambra,అల్హంబ్రా,అల్ంబ్రర
praarambhinchukobotunna,ప్రారంభించుకోబోతున్న,ప్రారంభించుకోబోతున్న
padutunnaa,పడుతున్నా,పడుతున్నా
pekku,పెక్కు,పెక్కు
ardhalanu,అర్ధాలను,అర్థలను
labs,ల్యాబ్స్,లాబ్స్
nrutyaaniki,నృత్యానికి,నృత్యానికి
lakhmani,లక్మని,లఖ్మని
jaawed,జావేద్,జావేడ్
narwar,నర్వర్,నర్వార్
jamloki,జమ్లోకీ,జంలోకి
saharanpur,సహారన్పూర్,సహరర్పూూర్
dhanya,ధాన్య,ధన్య
ovaipu,ఓవైపు,ఓవైపు
french,ప్రెంచ్,ఫ్రెన్చ్
cheyuvaaru,చేయువారు,చేయువారు
taditarulatoe,తదితరులతో,తడితరులతో
menon,మీనన్,మెనోన్
bahishkaristuu,బహిష్కరిస్తూ,బహిష్కరిస్తూ
shaeshayya,శేషయ్య,శేషయ్య
paalayyaadu,పాలయ్యాడు,పాలయ్యాడు
kunthii,కుంతీ,కుంతీ
negi,నెగి,నేగి
dorukutundanukunna,దొరుకుతుందనుకున్న,దొరుకుతుందనుకున్న
padmamuyokka,పద్మముయొక్క,పద్మముయొక్క
atuvantodenaa,అటువంటోడేనా,అతువంతోడేనా
guduri,గూడూరి,గుడురి
livonia,లివోనియా,లివోనియా
padagottaaru,పడగొట్టారు,పడగొట్టారు
therakundaa,తీరకుండా,తేరకుండా
mangaluru,మంగళూరు,మంగలూరు
whiisky,విస్కీ,వైస్క్
vein,వేన్,వీన్న
whisqey,విస్కీ,విస్వే
belagavi,బెళగావి,బెలగవవ
aavaginjamta,ఆవగింజంత,ఆవగింజంత
hrudayamthoo,హృదయంతో,హృదయంతో
veyandantoo,వేయండంటూ,వేయండంతో
andhramu,ఆంధ్రము,అంధ్రము
vamtakaalu,వంటకాలు,వంతకాలు
navanit,నవనీత్,నవనిత్
mera,మేర,మెరా
sashyashyamalam,సస్యశ్యామలం,సష్యష్యమలం
ivi,ఈవ్,ఇవి
panghal,పంఘాల్,పంఘఘ్
mosae,మోసే,మోసే
terrarism,టెర్రరిజం,టెర్రరిిసం
ow,ఔ,ఒవ్
aagakundaa,ఆగకుండా,ఆగకుండా
chestaam,చేస్తాం,చేస్తాం
patakaalanu,పతకాలను,పటకాలను
medisins,మెడిసిన్స్,మెడిసిన్స్
naayakulugaa,నాయకులుగా,నాయకులుగా
hrudayam,హృదయం,హృదయం
biocon,బయోకొన్,బయోకన్
itivruttaalu,ఇతివృత్తాలు,ఇతివృత్తాలు
vir,వీర్,విర్
geluchukonundani,గెలుచుకోనుందని,గెలుచుకొనుందని
eemadhyee,ఈమధ్యే,ఈమధ్యే
chebutunte,చెబుతుంటే,చెబుతుంటే
vaddhannaa,వద్దన్నా,వద్ధన్నా
alochanalanu,ఆలోచనలను,అలోచనలన
thaleththi,తలెత్తి,తలేత్తి
ticket,టికెట్,టికెట్
paamditya,పాండిత్య,పాండిత్య
tolinallalo,తొలినాళ్ళలో,తొలినల్లలో
suchinche,సూచించే,సుచించే
shajapur,షాజాపూర్,షజజపూర్
berwyn,బెర్వీన్,బెర్వి
behar,బీహార్,బెహర్
pattukovaalani,పట్టుకోవాలని,పట్టుకోవాలని
dhaasooham,దాసోహం,ధాసోహం
giridih,గిరిదిః,గిరిదిహ్
magani,మగని,మగనన
mayooram,మయూరం,మయూరం
ardhamlo,అర్థంలో,అర్థంలో
nirminchukunnaa,నిర్మించుకున్నా,నిర్మించుకున్నా
ayodhya,అయోధ్య,అయోధ్య
chandigarh,చండీగఢ్,చందిగర్
chinnathanam,చిన్నతనం,చిన్నతనన
techchukuntunnaarante,తెచ్చుకుంటున్నారంటే,తెచ్చుకుంటున్నారంటే
telipinatleenani,తెలిపినట్లేనని,తెలిపినట్లేనని
cheyenne,చెయెన్నె,చేయెన్నే
shabbir,షబ్బీర్,షబ్బీర్
vaanni,వాణ్ణి,వాన్ని
vegas,వేగాస్,వేగాస్
para,పార,పరరా
lobhiraajulanu,లోభిరాజులను,లోభిరాజులను
apex,అపెక్స్,అపెక్స్
mungita,ముంగిట,ముంగిత
sariiramloeki,శరీరంలోకి,సరీరంలోకి
punzab,పంజాబ్,పుంజబ్
upayogichaalanukune,ఉపయోగించాలనుకునే,ఉపయోగిచాలనుకునే
ojha,ఓజా,ఒజ్
intintiki,ఇంటింటికి,ఇంటింటికి
edhigindhi,ఎదిగింది,ఏదిగింది
koppula,కొప్పుల,కొప్పుల
uchchulu,ఉచ్చులు,ఉచ్చులు
kaligenu,కలిగెను,కలిగేను
tinsukia,టిన్సుకియా,టిన్సుకియా
lohamtoe,లోహంతో,లోహంతో
chhindwara,చింద్వారా,చింద్వారా
samputalu,సంపుటాలు,సంపుతలు
phaaloe,ఫాలో,ఫాలో
crosse,క్రాసే,క్రోస్స్
raayi,రాయి,రాయి
dhaivaaniki,ధైవానికి,ధైవానికి
shastrachikitsalu,శస్త్రచికిత్సలు,శస్త్రచికిత్సలు
worldwide,వరల్డ్వైడ్,వర్ల్విడే
maart,మార్ట్,మార్ట్
tulshidas,తులసీదాస్,తులష్చిదాస్
divyabharathi,దివ్యభారతి,దివ్యభరతి
ahalya,అహల్యా,ఆహాలయ
hrudayamto,హృదయంతో,హృదయంతో
jay,జయ్,జయ్
tdpki,టిడిపికి,టీడిపీపి
thelusukoovatam,తెలుసుకోవటం,తెలుసుకోవటం
masamalu,మాసములు,మసమలు
pakistan,పాకిస్థాన్,పాకిస్తాన
nivaasaanni,నివాసాన్ని,నివాసాన్ని
paalapunta,పాలపుంత,పాలపుంట
sarihaddulalo,సరిహద్దులలో,సరిహద్దులలో
paaraayana,పారాయణ,పారాయన
vahinchindi,వహించింది,వహించింది
forest,ఫారెస్ట్,ఫారెస్ట్
varasaku,వరసకు,వరసకు
cheesukuntunnaarannadi,చేసుకుంటున్నారన్నది,చీసుకుంటున్నారన్నది
slooveeniyaa,స్లోవేనియా,స్లోవీనియా
nadaf,నదాఫ్,నడఫ్
kuuragaayalanu,కూరగాయలను,కూరగాయలను
yeyappudu,య్యేప్పుడు,యయపప్పుడు
kanvenshan,కన్వెన్షన్,కన్వెన్షన్
suri,సూరి,సురి
larsen,లర్సెన్,లార్సెన్
anusandaanamai,అనుసంధానమై,అనుసందానమై
gelupondi,గెలుపొంది,గెలుపొంది
kuki,కుకీ,కుకి
baaji,బాజీ,బాజీ
pol,పోల్,పోల్
sannahalu,సన్నాహాలు,సన్నహాలు
bellingham,బెల్లింగ్హామ్,బెల్లింగంహ
nirodhinchadaaniki,నిరోధించడానికి,నిరోధించడానికి
huffman,హఫ్మాన్,హఫ్యనన
control,కంట్రోల్,కాంటరలల్
ayinappu,అయినప్పు,అయినప్పు
ajeez,అజీజ్,అజీజ్
ryaaleeloo,ర్యాలీలో,ర్యాలీలో
monte,మొంటే,మొంటే
fertilisers,ఫెర్టిలైజర్స్,ఫరర్టిలజ్సర్
theratipally,తెరటిపల్లి,తెరతిపల్లి
annimtinii,అన్నింటినీ,అన్నింటినీ
chusukovalippudu,చూసుకోవాలిప్పుడు,చూసుకోవాలిప్పుడు
guma,గుమ్మా,గుమా
enchukunnaadu,ఎంచుకున్నాడు,ఎంచుకున్నాడు
gurtuchesukunnaaru,గుర్తుచేసుకున్నారు,గుర్తుచేసుకున్నారు
bhawanaalaku,భవనాలకు,భవనాలకు
mamtapamu,మంటపము,మంతపముు
vyavaharinchaarannaarani,వ్యవహరించారన్నారని,వ్యవహరించారన్నారని
chaeraadani,చేరాడని,చేరాడని
quraishi,కురైషి,క్రైయిషి
astram,అస్త్రం,అస్త్రం
aahaaramugaa,ఆహారముగా,ఆహారముగా
stree,స్త్రీ,స్ట్రీ
manipur,మణిపూర్,మనిపూర్
balagaalato,బలగాలతో,బలగాలతో
mills,మిల్స్,మిల్స్్
bush,బుష్,బుష్
loehiyaa,లోహియా,లోహియా
ekkinchaalanukunnaaru,ఎక్కించాలనుకున్నారు,ఎక్కించాలనుకున్నారు
nirnayaalato,నిర్ణయాలతో,నిర్ణయాలతో
chestunnaarannaadani,చేస్తున్నారన్నాడని,చేస్తున్నారన్నాడని
toulmin,టౌల్మిన్,టోల్మిన్
uttama,ఉత్తమ,ఉత్తమా
chattabaddhamaina,చట్టబద్దమైన,చట్టబద్ధమైన
vivaahetara,వివాహేతర,వివాహేతర
hercules,హెర్క్యులస్,హెర్క్యుస్
sikar,సికర్,సికార్
nelakoolaadu,నేలకూలాడు,నెలకూలాడు
baetaalha,బేతాళ,బేతాల
vyasanamgaa,వ్యసనంగా,వ్యససనంగా
